Company URL,Position,Applied Date,Outcome
https://jobs.vailresortscareers.com/corporate/job/Broomfield-Business-Analyst-CO-80020/626226200/,Business Analyst,2.5.2020,
https://jobs.vailresortscareers.com/corporate/job/Broomfield-Senior-Analyst-Finance-Process-Optimization-%28FPO%29-Tech-Governance-CO-80020/613572100/,Financial Business Analyst/Developer,,
https://jobs.vailresortscareers.com/corporate/job/Broomfield-Senior-Analyst%2C-Marketing-Analytics-CO-80020/617681000/,"Senior Analyst, Marketing Analytics",2.5.2020,
https://jobs.vailresortscareers.com/corporate/job/Broomfield-Data-Engineering-Analyst-CO-80020/619296300/,Data Engineer,2.5.2020,
https://www.joinhoney.com/careers/engineering,Senior Data Scientist,,
https://recruiting.adp.com/srccar/public/1203501/POWDR/5000381200506/RTI.home?r=5000381200506&prc=RMPOD4#/,"
https://www.powdr.com/,Project Management Coordinator",2.10.2020,
https://patagonia.wd5.myworkdayjobs.com/en-US/PWCareers/job/Ventura-Headquarters/Omnichannel-Business-Analyst---IT-Business-Operations_JOB-REQ-5977,Omnichannel Business Analyst - IT Business Operations,2.10.2020,
https://patagonia.wd5.myworkdayjobs.com/en-US/PWCareers/job/Ventura-Headquarters/Product-Finance---Surf-Business-Unit_JOB-REQ-5552,Product Finance - Surf Business Unit,,
https://slalom.secure.force.com/careers/ts2__JobDetails?jobId=a0h1R000009r33aQAA&tSource=,"Analyst, Data Engineering",,
https://analyticpartners.com/careers/listings/?gh_jid=4564467002,Consultant-Marketing Analytics ,2.10.2020,
https://patagonia.wd5.myworkdayjobs.com/en-US/PWCareers/job/Ventura-Headquarters/Environmental-Campaigns-and-Activism-Associate_JOB-REQ-5123/apply?clientRequestID=4a37d20864ed4a0cada54d276224931e,Environmental-Campaigns-and-Activism-Associate,2.10.2020,
